iter	Passed	Remaining
0	12	1220
1	18	911
2	23	745
3	27	650
4	30	578
5	37	592
6	43	579
7	48	561
8	52	534
9	56	506
10	60	485
11	63	466
12	67	448
13	71	438
14	74	423
15	78	411
16	80	395
17	86	392
18	89	381
19	93	372
20	97	365
21	100	356
22	103	346
23	108	342
24	111	334
25	115	328
26	118	321
27	121	311
28	127	312
29	130	305
30	132	296
31	134	286
32	138	280
33	141	275
34	144	267
35	146	260
36	148	253
37	150	245
38	152	239
39	154	232
40	156	225
41	157	217
42	159	211
43	161	205
44	163	199
45	165	194
46	168	189
47	170	184
48	172	179
49	174	174
50	175	169
51	177	164
52	181	161
53	188	160
54	190	155
55	193	152
56	196	148
57	198	143
58	200	139
59	202	134
60	203	130
61	205	125
62	208	122
63	209	118
64	212	114
65	215	111
66	218	107
67	220	103
68	221	99
69	222	95
70	224	91
71	226	88
72	228	84
73	230	81
74	232	77
75	235	74
76	237	71
77	240	67
78	243	64
79	245	61
80	248	58
81	250	54
82	253	51
83	256	48
84	258	45
85	260	42
86	262	39
87	264	36
88	265	32
89	267	29
90	268	26
91	271	23
92	273	20
93	276	17
94	277	14
95	279	11
96	281	8
97	284	5
98	288	2
99	291	0
